Time:2017-08-11 14:48:05:570-Redis write queue start init...


Time:2017-08-11 14:48:05:572-Sql wait write queue start init...


Time:2017-08-11 14:48:05:573-Sql write queue start init...


Time:2017-08-11 14:48:05:976-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-08-11 14:49:05:987-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:50:06:000-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:51:06:014-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:52:06:028-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:53:06:040-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:54:06:055-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:55:06:068-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:56:06:082-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:57:06:095-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:58:06:108-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


Time:2017-08-11 14:59:06:123-Trace>>Socket connect status: TotalCount=1, CurrentCount=0, CloseCount=1, RejectedCount=0


